6876 6876
0 1 3
1 68 2
68 120 2
120 176 2
176 177 3
177 229 2
229 287 2
287 316 2
316 288 2
288 230 3
230 178 2
178 121 2
121 91 2
91 2 3
2 38 2
38 39 3
39 69 2
69 3 3
3 40 2
40 4 2
4 70 2
70 147 3
147 208 2
208 180 2
180 124 2
124 123 2
123 122 3
122 179 2
179 231 2
231 266 2
266 317 2
317 340 2
340 393 2
393 444 2
444 496 2
496 548 2
548 609 2
609 663 2
663 723 2
723 779 2
779 722 3
722 778 2
778 836 2
836 893 2
893 959 2
959 960 2
960 1026 2
1026 1060 2
1060 992 2
992 1061 2
1061 1096 1
1096 1166 2
1166 1097 2
1097 1132 2
1132 1204 2
1204 1275 2
1275 1341 2
1341 1308 2
1308 1276 1
1276 1205 2
1205 1206 2
1206 1133 2
1133 1098 2
1098 1063 1
1063 995 2
995 994 2
994 1062 2
1062 1027 2
1027 993 1
993 932 2
932 895 2
895 961 2
961 931 2
931 894 2
894 837 2
837 866 2
866 804 2
804 744 2
744 688 2
688 689 2
689 745 2
745 838 3
838 867 2
867 933 2
933 896 2
896 839 2
839 805 2
805 780 2
780 724 3
724 690 1
690 633 2
633 610 2
610 632 3
632 575 2
575 549 2
549 498 2
498 497 2
497 414 3
414 445 2
445 394 2
394 364 2
364 318 2
318 267 3
267 268 2
268 209 2
209 148 2
148 92 2
92 71 2
71 5 2
5 6 3
6 41 2
41 7 2
7 72 2
72 95 2
95 8 3
8 42 2
42 9 2
9 43 2
43 10 2
10 73 2
73 96 4
96 125 1
125 152 2
152 213 2
213 234 1
234 293 2
293 344 2
344 343 3
343 396 2
396 418 3
418 501 3
501 500 2
500 529 2
529 470 2
470 469 2
469 417 2
417 366 2
366 292 3
292 271 1
271 212 2
212 182 2
182 151 2
151 211 2
211 270 2
270 291 1
291 342 2
342 416 3
416 468 2
468 528 2
528 551 2
551 611 2
611 578 2
578 664 3
664 635 2
635 577 2
577 527 2
527 467 2
467 415 2
415 365 2
365 319 2
319 290 2
290 233 2
233 181 2
181 150 1
150 94 2
94 93 3
93 149 2
149 210 2
210 232 2
232 269 2
269 289 1
289 341 2
341 395 2
395 446 2
446 466 2
466 526 2
526 499 3
499 550 2
550 576 2
576 634 2
634 691 2
691 746 2
746 747 2
747 806 2
806 868 2
868 934 2
934 996 2
996 1064 2
1064 1134 2
1134 1207 2
1207 1208 2
1208 1278 2
1278 1309 1
1309 1381 2
1381 1343 2
1343 1277 2
1277 1342 2
1342 1414 2
1414 1450 1
1450 1519 2
1519 1520 2
1520 1550 2
1550 1521 1
1521 1451 2
1451 1452 2
1452 1382 2
1382 1310 2
1310 1237 2
1237 1209 1
1209 1135 2
1135 1065 2
1065 997 2
997 935 2
935 897 2
897 840 2
840 807 1
807 748 2
748 692 2
692 665 2
665 666 2
666 579 3
579 580 2
580 581 2
581 636 2
636 693 2
693 751 2
751 810 2
810 752 3
752 694 2
694 637 2
637 582 2
582 530 2
530 471 2
471 419 2
419 367 2
367 320 2
320 272 2
272 235 2
235 183 2
183 126 2
126 74 2
74 11 2
11 75 3
75 127 2
127 184 2
184 236 2
236 321 3
321 368 2
368 447 3
447 502 2
502 552 2
552 612 2
612 667 2
667 725 2
725 781 2
781 842 2
842 900 2
900 901 2
901 939 2
939 1002 2
1002 1069 2
1069 1070 2
1070 1140 2
1140 1212 2
1212 1281 2
1281 1211 2
